evaluations raw_y
1 44.0000000000
2 56.0000000000
16 57.0000000000
17 58.0000000000
32 60.0000000000
73 63.0000000000
273 64.0000000000
982 72.0000000000
4430 73.0000000000
50000 47.0000000000
evaluations raw_y
1 44.0000000000
2 52.0000000000
4 54.0000000000
7 55.0000000000
11 59.0000000000
23 65.0000000000
591 67.0000000000
8460 68.0000000000
35813 69.0000000000
38471 72.0000000000
50000 54.0000000000
evaluations raw_y
1 53.0000000000
3 57.0000000000
33 58.0000000000
92 59.0000000000
121 61.0000000000
187 62.0000000000
344 64.0000000000
975 65.0000000000
1160 66.0000000000
2037 67.0000000000
6115 68.0000000000
28955 69.0000000000
32290 70.0000000000
48481 71.0000000000
50000 54.0000000000
evaluations raw_y
1 52.0000000000
7 53.0000000000
8 54.0000000000
9 57.0000000000
82 60.0000000000
233 61.0000000000
367 64.0000000000
773 65.0000000000
1425 66.0000000000
2257 68.0000000000
5641 71.0000000000
50000 52.0000000000
evaluations raw_y
1 53.0000000000
5 56.0000000000
7 59.0000000000
17 60.0000000000
66 65.0000000000
843 66.0000000000
8692 67.0000000000
13964 68.0000000000
23298 69.0000000000
41764 70.0000000000
49883 71.0000000000
50000 51.0000000000
evaluations raw_y
1 53.0000000000
3 54.0000000000
9 58.0000000000
18 59.0000000000
45 61.0000000000
63 64.0000000000
320 68.0000000000
3260 69.0000000000
37203 72.0000000000
50000 45.0000000000
evaluations raw_y
1 53.0000000000
6 57.0000000000
25 58.0000000000
30 62.0000000000
45 63.0000000000
166 70.0000000000
3967 71.0000000000
18723 72.0000000000
50000 47.0000000000
evaluations raw_y
1 44.0000000000
2 45.0000000000
3 51.0000000000
4 55.0000000000
9 58.0000000000
11 60.0000000000
28 62.0000000000
170 66.0000000000
1262 70.0000000000
50000 53.0000000000
evaluations raw_y
1 54.0000000000
9 56.0000000000
23 60.0000000000
378 61.0000000000
534 67.0000000000
1802 68.0000000000
19004 70.0000000000
50000 45.0000000000
evaluations raw_y
1 58.0000000000
9 62.0000000000
451 66.0000000000
966 68.0000000000
11350 69.0000000000
28753 71.0000000000
50000 51.0000000000
evaluations raw_y
1 51.0000000000
7 60.0000000000
16 62.0000000000
214 65.0000000000
361 67.0000000000
1929 69.0000000000
45551 70.0000000000
50000 47.0000000000
evaluations raw_y
1 51.0000000000
5 52.0000000000
8 56.0000000000
16 62.0000000000
737 64.0000000000
2583 65.0000000000
2588 70.0000000000
50000 51.0000000000
evaluations raw_y
1 46.0000000000
2 56.0000000000
