evaluations raw_y
1 1.0000000000
3 2.0000000000
11 3.0000000000
17 7.0000000000
177 9.0000000000
748 11.0000000000
1753 13.0000000000
17359 14.0000000000
50000 2.0000000000
evaluations raw_y
1 9.0000000000
553 10.0000000000
2873 12.0000000000
14486 14.0000000000
22294 15.0000000000
50000 2.0000000000
evaluations raw_y
1 2.0000000000
6 7.0000000000
304 9.0000000000
1259 12.0000000000
5291 14.0000000000
25242 17.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
2 3.0000000000
17 4.0000000000
42 5.0000000000
150 6.0000000000
496 7.0000000000
1037 8.0000000000
1114 10.0000000000
2820 12.0000000000
4231 18.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
3 2.0000000000
33 8.0000000000
886 11.0000000000
1083 20.0000000000
50000 1.0000000000
evaluations raw_y
1 1.0000000000
5 5.0000000000
21 9.0000000000
2911 10.0000000000
3661 11.0000000000
8457 12.0000000000
23997 14.0000000000
31539 15.0000000000
50000 1.0000000000
evaluations raw_y
1 0.0000000000
2 2.0000000000
24 3.0000000000
48 4.0000000000
92 6.0000000000
757 7.0000000000
914 10.0000000000
4151 13.0000000000
9491 15.0000000000
50000 4.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
11 4.0000000000
16 7.0000000000
420 9.0000000000
2152 11.0000000000
8496 16.0000000000
26713 21.0000000000
50000 1.0000000000
evaluations raw_y
1 1.0000000000
2 2.0000000000
6 4.0000000000
30 5.0000000000
66 9.0000000000
640 11.0000000000
680 12.0000000000
12223 13.0000000000
16331 19.0000000000
19131 22.0000000000
50000 2.0000000000
evaluations raw_y
1 0.0000000000
2 5.0000000000
43 6.0000000000
238 11.0000000000
1568 13.0000000000
13076 14.0000000000
18730 16.0000000000
20320 18.0000000000
50000 4.0000000000
evaluations raw_y
1 3.0000000000
25 5.0000000000
57 7.0000000000
245 8.0000000000
336 9.0000000000
2211 11.0000000000
5942 12.0000000000
13499 13.0000000000
20756 18.0000000000
