evaluations raw_y
1 0.0000000000
2 1.0000000000
3 4.0000000000
56 5.0000000000
83 6.0000000000
100 7.0000000000
286 11.0000000000
5136 12.0000000000
9185 13.0000000000
13262 14.0000000000
13351 20.0000000000
21819 21.0000000000
25751 22.0000000000
33909 24.0000000000
37146 26.0000000000
39899 30.0000000000
53368 31.0000000000
67170 32.0000000000
71015 36.0000000000
71309 37.0000000000
81333 39.0000000000
91721 47.0000000000
99000 37.0000000000
evaluations raw_y
1 0.0000000000
3 3.0000000000
5 4.0000000000
8 9.0000000000
743 10.0000000000
11222 11.0000000000
19211 12.0000000000
23367 13.0000000000
31345 14.0000000000
39120 16.0000000000
41948 18.0000000000
47035 19.0000000000
49648 20.0000000000
57649 21.0000000000
63113 23.0000000000
77793 25.0000000000
93558 30.0000000000
99000 23.0000000000
evaluations raw_y
1 8.0000000000
41 13.0000000000
9872 15.0000000000
23027 18.0000000000
29811 20.0000000000
39741 21.0000000000
47299 22.0000000000
49124 23.0000000000
59246 24.0000000000
63107 26.0000000000
77373 30.0000000000
87878 31.0000000000
95633 34.0000000000
99000 27.0000000000
evaluations raw_y
1 1.0000000000
2 3.0000000000
17 4.0000000000
45 8.0000000000
815 9.0000000000
975 10.0000000000
13083 11.0000000000
13598 12.0000000000
15020 13.0000000000
29251 20.0000000000
41262 22.0000000000
55781 23.0000000000
71664 24.0000000000
73823 25.0000000000
89619 27.0000000000
99000 25.0000000000
evaluations raw_y
1 2.0000000000
8 7.0000000000
178 9.0000000000
9633 12.0000000000
13606 15.0000000000
21639 16.0000000000
23440 19.0000000000
31854 20.0000000000
37208 25.0000000000
49724 27.0000000000
61159 35.0000000000
73467 37.0000000000
87071 38.0000000000
89536 42.0000000000
91333 43.0000000000
99000 37.0000000000
evaluations raw_y
1 0.0000000000
5 1.0000000000
7 2.0000000000
11 4.0000000000
13 12.0000000000
7343 13.0000000000
7930 15.0000000000
19820 16.0000000000
21139 18.0000000000
25777 19.0000000000
31207 21.0000000000
37774 22.0000000000
41127 23.0000000000
43391 26.0000000000
55817 31.0000000000
69688 33.0000000000
75617 35.0000000000
87989 36.0000000000
89430 40.0000000000
99000 35.0000000000
evaluations raw_y
1 2.0000000000
2 3.0000000000
13 4.0000000000
44 6.0000000000
57 7.0000000000
101 8.0000000000
866 10.0000000000
13421 11.0000000000
13661 12.0000000000
21036 14.0000000000
31001 15.0000000000
31551 16.0000000000
41379 17.0000000000
41964 18.0000000000
51830 19.0000000000
55013 20.0000000000
71018 21.0000000000
71240 22.0000000000
75123 23.0000000000
89967 24.0000000000
99000 22.0000000000
evaluations raw_y
1 3.0000000000
26 5.0000000000
30 9.0000000000
3968 10.0000000000
9490 11.0000000000
13322 13.0000000000
25078 14.0000000000
41883 17.0000000000
43437 18.0000000000
59670 20.0000000000
71093 23.0000000000
77873 24.0000000000
83518 25.0000000000
97204 26.0000000000
99000 23.0000000000
evaluations raw_y
1 1.0000000000
5 5.0000000000
29 7.0000000000
332 8.0000000000
708 9.0000000000
846 11.0000000000
9805 14.0000000000
25346 16.0000000000
31419 17.0000000000
37659 19.0000000000
43531 22.0000000000
57119 24.0000000000
69149 25.0000000000
79112 28.0000000000
91411 30.0000000000
99000 25.0000000000
evaluations raw_y
1 0.0000000000
4 3.0000000000
18 4.0000000000
32 7.0000000000
614 8.0000000000
664 9.0000000000
796 10.0000000000
3182 12.0000000000
11601 13.0000000000
17106 23.0000000000
37322 25.0000000000
49085 28.0000000000
55317 29.0000000000
65568 31.0000000000
73062 32.0000000000
75104 34.0000000000
83125 35.0000000000
87275 40.0000000000
91089 41.0000000000
99000 34.0000000000
