evaluations raw_y
1 47.0000000000
3 52.0000000000
9 55.0000000000
13 58.0000000000
79 59.0000000000
89 66.0000000000
3238 68.0000000000
5896 69.0000000000
7259 70.0000000000
9332 72.0000000000
11201 73.0000000000
11245 74.0000000000
11365 76.0000000000
13381 77.0000000000
15131 79.0000000000
19315 80.0000000000
21030 83.0000000000
25280 84.0000000000
25437 85.0000000000
31946 86.0000000000
33309 87.0000000000
33508 88.0000000000
35177 89.0000000000
35202 91.0000000000
37338 92.0000000000
37988 93.0000000000
41592 94.0000000000
43164 96.0000000000
49624 97.0000000000
51301 99.0000000000
61392 100.0000000000
63000 96.0000000000
evaluations raw_y
1 48.0000000000
4 54.0000000000
5 56.0000000000
9 57.0000000000
23 59.0000000000
76 62.0000000000
596 64.0000000000
685 66.0000000000
935 68.0000000000
5379 69.0000000000
7293 72.0000000000
9503 74.0000000000
13334 75.0000000000
15392 76.0000000000
17223 77.0000000000
17696 79.0000000000
19137 80.0000000000
21243 81.0000000000
23556 84.0000000000
25040 85.0000000000
31502 86.0000000000
31854 87.0000000000
33060 90.0000000000
37056 92.0000000000
39440 93.0000000000
43592 94.0000000000
47316 96.0000000000
55142 97.0000000000
57965 98.0000000000
63162 99.0000000000
65515 100.0000000000
67000 95.0000000000
evaluations raw_y
1 51.0000000000
5 52.0000000000
7 54.0000000000
8 60.0000000000
34 64.0000000000
602 65.0000000000
633 67.0000000000
5417 68.0000000000
9165 71.0000000000
9489 73.0000000000
11959 74.0000000000
13388 75.0000000000
15164 76.0000000000
15629 78.0000000000
19303 79.0000000000
21227 81.0000000000
23479 82.0000000000
25451 83.0000000000
25523 84.0000000000
29010 85.0000000000
31108 87.0000000000
33205 88.0000000000
37170 89.0000000000
37942 90.0000000000
39475 91.0000000000
43147 92.0000000000
45404 93.0000000000
47615 94.0000000000
51336 95.0000000000
55068 96.0000000000
55829 97.0000000000
59873 98.0000000000
63095 99.0000000000
67361 100.0000000000
69000 96.0000000000
evaluations raw_y
1 58.0000000000
4 60.0000000000
113 61.0000000000
244 64.0000000000
745 66.0000000000
3269 67.0000000000
3505 68.0000000000
5431 69.0000000000
7157 71.0000000000
9054 75.0000000000
15304 77.0000000000
17539 79.0000000000
21286 80.0000000000
23381 81.0000000000
23601 82.0000000000
29091 83.0000000000
29477 84.0000000000
31032 85.0000000000
31354 86.0000000000
31863 87.0000000000
33872 89.0000000000
39941 90.0000000000
43056 91.0000000000
45208 92.0000000000
47465 93.0000000000
47812 96.0000000000
55749 97.0000000000
59460 98.0000000000
65238 99.0000000000
71266 100.0000000000
73000 96.0000000000
evaluations raw_y
1 49.0000000000
4 51.0000000000
5 55.0000000000
7 59.0000000000
53 62.0000000000
109 63.0000000000
296 65.0000000000
3451 66.0000000000
3564 67.0000000000
5473 68.0000000000
7187 69.0000000000
7289 70.0000000000
9249 71.0000000000
9612 74.0000000000
11047 75.0000000000
13248 77.0000000000
15268 78.0000000000
15358 84.0000000000
27056 85.0000000000
29175 86.0000000000
31048 87.0000000000
31356 89.0000000000
35032 90.0000000000
37041 91.0000000000
39222 92.0000000000
43820 93.0000000000
45542 94.0000000000
49056 95.0000000000
51246 96.0000000000
57522 97.0000000000
59465 98.0000000000
63398 99.0000000000
67074 100.0000000000
69000 96.0000000000
evaluations raw_y
1 49.0000000000
4 54.0000000000
17 55.0000000000
28 59.0000000000
98 60.0000000000
196 61.0000000000
232 63.0000000000
393 64.0000000000
5066 67.0000000000
7209 68.0000000000
7474 69.0000000000
9027 70.0000000000
9084 72.0000000000
11967 74.0000000000
13226 76.0000000000
17098 78.0000000000
17675 79.0000000000
19723 80.0000000000
21713 81.0000000000
23157 82.0000000000
25011 83.0000000000
27286 85.0000000000
29870 86.0000000000
31637 89.0000000000
39228 91.0000000000
41386 92.0000000000
43002 93.0000000000
45590 94.0000000000
47194 95.0000000000
49458 96.0000000000
51434 97.0000000000
57280 98.0000000000
61470 99.0000000000
65683 100.0000000000
67000 96.0000000000
evaluations raw_y
1 47.0000000000
2 53.0000000000
10 54.0000000000
11 56.0000000000
15 59.0000000000
18 61.0000000000
100 63.0000000000
163 64.0000000000
840 68.0000000000
7071 70.0000000000
9285 73.0000000000
13086 74.0000000000
15535 75.0000000000
17004 77.0000000000
19306 78.0000000000
19861 79.0000000000
21094 80.0000000000
23167 81.0000000000
23783 82.0000000000
27010 85.0000000000
31337 86.0000000000
33078 87.0000000000
37325 88.0000000000
37580 89.0000000000
41562 90.0000000000
41649 91.0000000000
45545 92.0000000000
47150 94.0000000000
47205 96.0000000000
59914 97.0000000000
63049 98.0000000000
65312 99.0000000000
67705 100.0000000000
69000 95.0000000000
evaluations raw_y
1 52.0000000000
5 55.0000000000
18 60.0000000000
32 63.0000000000
161 66.0000000000
690 67.0000000000
5017 68.0000000000
5327 69.0000000000
7203 70.0000000000
7849 72.0000000000
11638 73.0000000000
13143 76.0000000000
13239 77.0000000000
13652 78.0000000000
17024 79.0000000000
19272 80.0000000000
21460 83.0000000000
25483 84.0000000000
25898 85.0000000000
29062 86.0000000000
31392 87.0000000000
35019 88.0000000000
37281 89.0000000000
37585 90.0000000000
39525 91.0000000000
43383 92.0000000000
43956 93.0000000000
47604 94.0000000000
49337 95.0000000000
51421 96.0000000000
53152 98.0000000000
59068 99.0000000000
65212 100.0000000000
67000 96.0000000000
evaluations raw_y
1 57.0000000000
10 59.0000000000
56 61.0000000000
345 65.0000000000
892 67.0000000000
1342 68.0000000000
7267 69.0000000000
7628 71.0000000000
9967 72.0000000000
11456 74.0000000000
13239 78.0000000000
17239 80.0000000000
23028 81.0000000000
23308 82.0000000000
25225 83.0000000000
27021 86.0000000000
29532 87.0000000000
33391 88.0000000000
35285 89.0000000000
35864 90.0000000000
39290 91.0000000000
41239 92.0000000000
43474 93.0000000000
45131 94.0000000000
47490 96.0000000000
51576 97.0000000000
57131 98.0000000000
63347 99.0000000000
65999 100.0000000000
67000 96.0000000000
evaluations raw_y
1 47.0000000000
2 48.0000000000
3 49.0000000000
4 54.0000000000
7 59.0000000000
38 61.0000000000
210 63.0000000000
808 64.0000000000
3002 65.0000000000
3268 67.0000000000
5059 68.0000000000
5249 69.0000000000
7411 71.0000000000
9101 73.0000000000
13058 74.0000000000
13142 75.0000000000
13216 76.0000000000
13773 78.0000000000
17149 79.0000000000
17742 81.0000000000
21016 82.0000000000
23529 84.0000000000
25188 85.0000000000
29010 86.0000000000
29100 88.0000000000
31714 89.0000000000
33247 90.0000000000
35310 91.0000000000
39523 92.0000000000
39928 93.0000000000
41471 94.0000000000
45260 95.0000000000
49948 96.0000000000
51641 97.0000000000
55022 98.0000000000
57183 99.0000000000
59105 100.0000000000
61000 94.0000000000
