evaluations raw_y
1 45.0000000000
2 49.0000000000
7 52.0000000000
8 55.0000000000
19 58.0000000000
55 61.0000000000
79 64.0000000000
1943 65.0000000000
3189 66.0000000000
6224 68.0000000000
14094 70.0000000000
50000 45.0000000000
evaluations raw_y
1 50.0000000000
10 54.0000000000
17 55.0000000000
26 56.0000000000
28 60.0000000000
61 62.0000000000
138 64.0000000000
196 65.0000000000
1786 66.0000000000
5200 71.0000000000
50000 44.0000000000
evaluations raw_y
1 51.0000000000
3 58.0000000000
63 59.0000000000
93 61.0000000000
130 62.0000000000
408 63.0000000000
513 65.0000000000
3002 67.0000000000
17734 68.0000000000
20980 69.0000000000
50000 48.0000000000
evaluations raw_y
1 44.0000000000
2 47.0000000000
3 54.0000000000
13 56.0000000000
22 60.0000000000
47 63.0000000000
307 64.0000000000
659 66.0000000000
4847 67.0000000000
8528 68.0000000000
11283 69.0000000000
11886 71.0000000000
50000 54.0000000000
evaluations raw_y
1 49.0000000000
3 59.0000000000
15 62.0000000000
303 65.0000000000
477 67.0000000000
2121 68.0000000000
15520 69.0000000000
45295 70.0000000000
50000 53.0000000000
evaluations raw_y
1 50.0000000000
2 58.0000000000
13 62.0000000000
87 65.0000000000
546 66.0000000000
1048 67.0000000000
1516 68.0000000000
5542 69.0000000000
36642 70.0000000000
50000 46.0000000000
evaluations raw_y
1 58.0000000000
17 59.0000000000
30 61.0000000000
189 63.0000000000
268 65.0000000000
628 68.0000000000
9071 69.0000000000
20115 70.0000000000
50000 54.0000000000
evaluations raw_y
1 59.0000000000
37 60.0000000000
38 62.0000000000
216 66.0000000000
564 67.0000000000
1984 68.0000000000
13534 69.0000000000
50000 58.0000000000
evaluations raw_y
1 48.0000000000
2 51.0000000000
4 57.0000000000
11 59.0000000000
91 62.0000000000
168 63.0000000000
248 65.0000000000
1494 67.0000000000
4591 70.0000000000
34545 72.0000000000
49769 74.0000000000
50000 50.0000000000
evaluations raw_y
1 51.0000000000
2 52.0000000000
4 57.0000000000
6 59.0000000000
34 60.0000000000
140 62.0000000000
1300 63.0000000000
1409 66.0000000000
7146 67.0000000000
16080 68.0000000000
18906 72.0000000000
50000 56.0000000000
evaluations raw_y
1 50.0000000000
2 54.0000000000
17 56.0000000000
19 57.0000000000
26 64.0000000000
41 65.0000000000
164 67.0000000000
5300 69.0000000000
50000 53.0000000000
evaluations raw_y
1 48.0000000000
2 50.0000000000
3 51.0000000000
6 52.0000000000
9 56.0000000000
15 57.0000000000
22 58.0000000000
23 61.0000000000
60 62.0000000000
437 64.0000000000
602 65.0000000000
1846 66.0000000000
6345 68.0000000000
19676 70.0000000000
44550 71.0000000000
50000 50.0000000000
evaluations raw_y
1 51.0000000000
3 52.0000000000
10 56.0000000000
26 57.0000000000
95 58.0000000000
115 60.0000000000
158 61.0000000000
191 68.0000000000
4074 72.0000000000
50000 58.0000000000
evaluations raw_y
1 52.0000000000
3 54.0000000000
5 55.0000000000
6 59.0000000000
25 62.0000000000
518 63.0000000000
778 65.0000000000
1098 66.0000000000
1455 71.0000000000
50000 45.0000000000
evaluations raw_y
1 45.0000000000
2 51.0000000000
3 58.0000000000
61 59.0000000000
78 60.0000000000
87 63.0000000000
1303 64.0000000000
1617 66.0000000000
2360 71.0000000000
50000 45.0000000000
evaluations raw_y
1 45.0000000000
2 48.0000000000
3 55.0000000000
9 59.0000000000
61 63.0000000000
911 64.0000000000
2390 68.0000000000
4287 69.0000000000
24974 71.0000000000
29051 72.0000000000
50000 41.0000000000
evaluations raw_y
1 53.0000000000
4 59.0000000000
33 61.0000000000
66 63.0000000000
634 68.0000000000
2744 53.0000000000
